gene,SUB-00083,SUB-00084-2,SUB-00085,SUB-00086,SUB-00087,SUB-00088,SUB-00089-2,SUB-00090,SUB-00091,SUB-00092,SUB-00093,SUB-00095,SUB-00096,SUB-00221,SUB-00222,SUB-00223,SUB-00224,SUB-00225,SUB-00226,SUB-00284,SUB-00285,SUB-00286,SUB-00287,SUB-00297,SUB-00305,SUB-00313,SUB-00321,SUB-00328,SUB-00335,SUB-00343,SUB-00351,SUB-00359,SUB-00367,SUB-00374,SUB-00382,SUB-00388,SUB-00394,SUB-00400,SUB-00406,SUB-00412,SUB-00418,SUB-00424,SUB-00430,SUB-00436,SUB-00462,SUB-00478,SUB-00483,SUB-00489,SUB-00557,SUB-00562,SUB-00564,SUB-00569,SUB-00575,SUB-00582,SUB-00587,SUB-00595,SUB-00600,SUB-00604,SUB-00608,SUB-00612,SUB-00616,SUB-00628,SUB-00638,SUB-00647,SUB-00651,SUB-00655,SUB-00659,SUB-00661,SUB-00664,SUB-00669,SUB-00673,SUB-00678,SUB-00681,SUB-00733,SUB-00748,SUB-01175,SUB-01181,SUB-01187,SUB-01280,SUB-01305,SUB-01313,SUB-01321,SUB-01375,SUB-01381,SUB-01384,SUB-01387,SUB-01399,SUB-01403,SUB-01407,SUB-01415,SUB-01425,SUB-01429,SUB-01438,SUB-01445,SUB-01453,SUB-01461,SUB-01469,SUB-01476,SUB-01482,SUB-01488,SUB-01494,SUB-01500,SUB-01506,SUB-01512,SUB-01518,SUB-01524,SUB-01528,SUB-01532,SUB-01536,SUB-01540,SUB-01546,SUB-01552,SUB-01563,SUB-01569,SUB-01575,SUB-01581,SUB-01587,SUB-01593,SUB-01599,SUB-01609,SUB-01628,SUB-01635,SUB-01640,SUB-01646,SUB-01659,SUB-01978,SUB-01984
ENSG00000000003,229.1346503,335.5565071,390.4913472,547.0533511,44.56557273,819.0196357,462.3599997,245.4436986,265.4417254,186.1731317,236.1333284,70.26031191,375.6133149,100.4592182,251.9245539,833.1133089,282.432389,387.8666851,389.8139692,147.0916288,333.5292453,511.2399937,207.7180651,72.24026437,908.2799653,558.8932995,70.9199892,124.9333392,159.1619318,789.0533159,298.8445363,422.793989,281.2172789,530.8366803,447.207513,776.9445029,404.8065646,112.3754834,586.9035562,472.2643097,581.2873198,449.6266553,37.71817003,269.1066457,198.2000113,66.35133267,339.9733056,168.6434953,444.0145788,529.1599829,255.6916454,239.4328461,301.4000052,120.1117839,93.64402349,334.5049844,102.7594907,346.3963,139.2533416,347.2539653,121.163099,33.7010778,318.6400192,297.5999857,110.5609281,126.4420828,120.9971286,70.46448463,406.1002204,124.939644,95.9154828,122.3787975,310.2943629,231.293335,144.0666743,32.728496,247.4666681,141.9200126,118.6660292,261.2933427,40.97951357,144.4390608,40.45645423,171.6933266,290.3200209,318.2229281,142.3066802,97.34786111,0,2.127011667,108.4492791,317.3199932,215.4058651,276.1200121,25.48961689,163.4400105,2.465425667,82.83587963,95.93762741,181.7466632,69.72775417,263.7866561,0,124.2799995,70.64224925,273.6133623,83.27876588,167.070335,250.7066918,70.49579009,124.0799996,353.4799861,9.225272547,306.3999811,226.7657353,340.9199715,202.7011513,151.6133347,229.9204403,370.9733051,267.6933519,58.63527056,52.72564251,40.37965763,78.03428945,82.44985111,63.90575437
ENSG00000000005,0,0,0,0,0,2.853333707,4.813335787,0,0,0,0,0,0.053816987,0,2.43678864,1.74645408,0,0,0,0,0.327165653,0,0,0,0.014344933,0.357626053,0,0,5.119999387,0,0,0,0,0,0,0,0.097617813,1.872530507,3.466668133,0,0,0,0,0,0,0,0,0.63747872,0,1.739935627,0,0,0,0,0,0,0,0.77848544,0,0,0,0,0,0,0,0,0,1.84878368,0.170917893,0,0,0,0,2.39999768,2.666668907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08286096,3.106664507,0,0,0,0,0,3.533334133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25333584,0,0,0,0,0,0,0,0,0.16799832,0
ENSG00000000419,1549.666873,390.4286219,784.9372011,609.1209671,87.81052937,1233.469883,777.2866026,643.3377073,1514.986028,1467.020277,77.37048985,771.9332749,1333.773491,1107.893468,358.6285628,2181.880543,1099.223003,853.086853,1292.49333,185.6881874,934.1338975,273.0145265,120.8626949,712.0400685,482.3732649,1196.74027,12.63281033,222.1006622,1021.61335,193.1440449,1743.0934,668.0531782,475.9748139,1869.846604,1363.959978,198.5430785,1483.146607,1818.89544,236.9801908,376.1091463,124.3109344,723.7266583,1182.753364,877.6534502,790.4799943,236.9428022,1018.506894,1122.13326,504.5054863,1177.426723,191.5556434,237.2355821,637.0133518,949.9999445,225.5476252,413.9685484,265.6689957,1453.722795,60.12448957,671.6259559,130.0420917,488.7775865,180.3954905,135.7336385,940.347097,957.9735452,1503.748418,993.7601528,1584.720054,474.2897568,1465.3267,124.0986264,92.70757884,425.183097,638.5193958,573.3332996,795.2266523,138.1774613,355.4042757,556.9784866,303.9167919,587.9387914,857.6399298,229.7866826,462.786676,1246.319964,200.8543091,273.0034587,104.0238954,601.7733383,181.3129977,747.9599619,776.6399447,832.8533318,137.6460922,246.3732251,190.3736479,555.3200087,679.4667129,164.5199913,217.4858111,276.2054481,45.03670421,122.6723231,635.5900919,742.8666617,621.6992652,697.5466297,373.5893443,779.3866798,81.30817023,734.7467017,610.7599983,861.8132673,268.7553653,255.4483145,337.6235026,381.0666903,97.84341417,756.7200629,635.6132865,395.8349796,641.0533467,517.2798434,189.5668959,684.946694,635.7284163
ENSG00000000457,851.8655792,576.4208497,1562.353221,913.7925046,453.0271167,875.3638197,1801.714142,861.0416031,1192.015687,1168.286746,556.8329656,977.515223,985.0592179,775.1623209,932.8912353,1700.966637,1225.793232,933.9026077,1149.262585,481.5468496,1426.046362,1096.317467,960.7172702,1265.464169,2566.576077,635.1766818,546.5866458,546.3240912,1171.559294,1046.268667,1430.53797,874.1375195,646.9944721,1219.696549,1247.489326,1121.381673,1084.300345,1081.29859,762.0175547,1120.41208,769.8812613,861.6281508,584.1740368,748.8688232,678.8095315,737.5761185,1117.519811,934.2113397,793.1678042,1107.960581,0,416.4126039,781.0344585,1074.511038,286.6155491,1331.054684,610.9780334,1391.972785,369.0075067,924.4814851,772.8661839,564.0932895,687.7767142,263.9613251,835.4177188,655.4097704,1744.665543,752.4439757,1848.334108,1154.400492,1368.337052,0,731.3821356,477.36891,728.2011749,440.6628253,764.0467252,593.8315392,681.1936737,670.4696293,803.1410114,790.4480762,749.1799099,497.291735,407.2074424,1157.774566,0,410.0599642,13.53952667,479.6596788,500.6304907,646.0101839,695.9532938,526.4893925,623.0747014,477.439761,501.7548644,583.136763,667.1388284,0,617.6670438,689.9515095,441.2133785,369.144414,371.056744,672.7164322,637.2458603,592.3865492,587.1585915,602.9606533,541.7618743,595.6215678,545.7349121,862.4857899,722.1184822,411.9988477,569.8955075,0,677.3053459,563.4707746,635.6982598,579.0661234,756.4130407,607.2026515,728.4368864,704.9226533,661.3888295
ENSG00000000460,329.3072088,478.928555,707.6145561,488.0271997,339.6288012,73.91985411,788.4280746,272.6784577,6.021948667,8.43111736,88.21171583,4.001014373,95.64118431,0,317.84175,735.9834132,646.4924571,545.4212591,336.199175,437.0237876,479.3580126,272.4457553,419.122648,784.6323007,803.1787415,297.4099194,26.17152765,8.998922347,306.2541423,522.9979827,386.8374642,416.2061043,334.9521427,598.8135039,440.248529,381.9198063,16.41385677,466.2087369,502.0740456,536.6683382,571.8441654,95.05715885,9.187175893,269.2330636,13.10687827,7.310646907,263.958463,74.37332992,473.7795339,417.5271441,3.484284733,244.7296415,8.528377307,185.9500194,0.750943133,503.9134676,0,611.8239154,250.6670933,543.4954032,316.9113456,0,307.9351055,23.65980621,25.36334629,323.0876674,397.3955768,30.18985029,502.8757342,232.4052057,5.929926853,0,405.7275836,230.6767501,130.091022,28.89334853,12.0957946,0.314855133,10.38573157,165.2925366,517.3656541,49.98665992,362.695597,9.127741,35.71999789,334.5225293,124.8710309,119.2360718,0,0,194.4838739,10.1123794,12.91511053,0,353.7308114,1.2043458,63.09333403,157.9838618,2.227501667,0,0,327.4532023,0,225.1822198,249.2731278,10.74867341,215.7008917,58.74667068,153.6481619,40.27741712,278.5784174,237.1040159,10.68582452,288.7542499,86.30823643,3.380638133,399.9749628,85.83316389,286.9684645,10.25863051,0,157.4458602,32.17854928,408.7400036,274.0964678,194.8265661,191.5179293
ENSG00000000938,128.7199965,345.8800114,10.94726351,249.1466888,6.400000507,4.773333787,314.6266362,208.4999646,197.4933502,581.8399956,155.360004,0,6.063216507,102.9999886,161.799972,244.0783963,4.69870716,112.2533251,98.3600236,0,161.2000047,136.7999964,301.6599826,0,0,186.226666,0,0,23.11590671,8.672278533,0,194.3028299,0,0.9054914,457.7369366,721.1394092,0,0,8.653329907,100.1799987,22.59009461,143.6399914,24.88607109,2.14707948,217.2448829,9.34694028,16.88064533,2.819416227,67.53332867,252.866715,490.8399948,221.2666546,21.28730604,161.8400082,211.4799961,208.4061504,5.858774133,104.270655,0,197.5999975,132.3600259,126.9495067,201.1066568,907.3067485,180.6800041,11.83992667,266.7066392,161.5631241,436.7045748,368.000029,65.34946401,585.1451102,781.1199231,0,6.878831307,0,0,184.9451821,0,16.47999995,242.1066463,46.31123067,198.8799669,195.0133236,146.0399928,143.053337,0,730.3200429,5.992944533,8.1333336,12.55999715,0,6.018583573,0.818367013,195.6800176,39.23175229,492.2134169,4.398571053,0,264.5066827,6.293334133,5.156479907,114.8266788,0,17.61333243,1.76789872,0,0,13.13329043,0,377.4133125,157.1733282,96.51999204,108.080009,201.2666595,26.29333345,189.7333351,2.860799013,279.7999882,147.9866902,332.4581603,0,161.8000031,336.2266842,165.4666687,0,52.64
ENSG00000000971,2188.226396,1762.443383,1465.627296,832.0281264,58.11648391,2243.825403,2460.146348,976.281351,1427.248362,6801.937466,691.7129797,381.2607637,866.1801075,600.5332558,753.106528,3392.184636,589.2812175,1556.399584,924.110274,710.2059114,1629.548486,215.330265,725.7740029,584.9333594,789.2437861,825.0753451,4.967582347,4.258670947,446.1542337,1583.766641,894.5803209,416.2067108,754.8555522,1009.396282,737.6825002,1086.555806,488.3066995,473.8387422,401.1896296,606.6533351,331.0519485,0.360939333,529.4867084,425.8467336,801.1882296,356.0598511,354.2559023,280.8466738,807.6718222,795.3600188,1881.747408,1012.126551,506.7169118,571.5741928,824.4396323,774.3533163,531.8600336,1314.36992,457.8292359,1105.612821,430.9624894,1.711891747,1317.88671,2109.812361,505.0977508,671.0400466,377.5289073,760.9986963,524.8970033,1726.05486,1092.486706,1833.725682,1226.526606,5.840903373,747.9959468,5.92953364,384.3868982,1683.395581,226.8399995,3.598172133,944.3407016,362.7067148,268.7599629,1035.743479,855.9168964,532.4466682,6.01634416,1718.673621,204.0533058,0.189882,0.81402208,203.1799816,454.3933058,426.8959774,501.8389991,432.3400163,982.2570828,0.380101333,870.3999902,359.9089629,6.377903413,298.7413352,679.2109684,319.0400234,8.152659933,2.950697053,186.6399722,3.1433726,327.3316877,381.2410398,891.4561651,1328.883488,818.2203886,842.0515691,393.7961097,962.51109,808.7000018,386.3802544,722.1721007,705.2780751,870.7549169,4.00030664,54.12738105,953.9266926,824.1038387,274.166744,294.0466549
ENSG00000001036,1633.53295,738.0564125,1263.897911,2083.224428,427.7883432,1189.56723,1887.413451,416.1252787,1062.84911,1172.763878,671.3805119,1016.086663,1044.316003,747.5999849,825.6917094,2143.812084,1115.902818,1077.910649,1172.744881,854.6629959,1111.314348,888.7248272,918.282765,1853.351062,1735.603292,1080.379956,243.9605224,230.0567933,916.540259,1106.486573,1267.120891,1561.766913,580.0733773,1719.028784,1887.430556,1404.728673,988.6322124,780.3680237,898.4512277,702.6267626,878.4869735,962.3024351,812.0612077,635.1812087,667.7051341,49.91737359,887.3899907,683.9134674,499.5072712,702.3946427,414.4382009,451.5119945,712.2292363,929.1701584,587.525409,1126.179404,602.0557016,1348.256169,214.7187362,958.0064962,385.1570411,428.9009717,507.3311877,668.6706509,191.7907963,752.6495441,1137.970518,816.4184528,1703.327231,1021.606216,1089.943527,310.6930449,820.4094321,555.9829337,567.8423442,359.6652292,627.3733107,233.4343853,459.6400097,447.0841897,645.1145267,625.6623696,714.548331,380.6809582,447.8320917,857.6484953,356.4499295,641.8113686,384.9662245,492.8493426,411.1801418,562.5741536,659.0541405,592.5332582,331.2705239,541.5666504,666.8666529,508.2303949,721.5077776,322.080013,197.5332692,653.2662836,269.5916736,382.1706929,583.1200014,428.3799988,502.3100835,471.4933078,437.7193404,388.8338132,215.674235,518.6956364,310.1257078,415.3554314,578.5044507,605.0185343,242.9103819,367.7963294,237.2119534,783.0933355,597.9466254,443.6923819,510.2466823,549.7855009,442.8326012,619.4954365,327.7575425
ENSG00000001084,7339.160001,4258.573318,5323.586531,9313.705744,1628.948902,4659.960318,8579.227813,2803.946557,4683.860169,3452.913771,2338.573353,4232.666223,3661.4262,3382.152927,4016.7067,9543.97982,6176.326615,5454.98646,5735.819103,2916.633024,3380.653294,4528.260007,4249.927109,9863.8265,8130.099616,4536.307217,843.369631,2753.506544,2573.340089,3558.706974,5501.927457,7161.519607,3074.320195,8222.700627,7641.118664,6887.832932,3706.113464,4070.979624,3299.719308,4306.98399,3835.133226,4261.160491,4131.000039,2829.579752,2731.493276,2956.131424,3134.267168,3464.413563,4947.619857,3983.147563,1937.57338,2136.746837,3235.079689,4312.806923,2321.319815,3553.853355,1869.666699,5784.979695,1279.506711,4826.086769,1385.453322,1469.746606,3254.519849,2104.340838,2772.533234,3320.840059,5055.240178,3102.226406,9023.561179,4303.639921,4549.51955,1565.474713,3118.626961,2143.9601,2372.619952,1731.967028,2670.759877,1440.471872,2519.000419,1490.206656,3773.453258,2457.346622,3193.726863,1151.249073,1550.026715,3930.63359,1447.831295,2787.066709,1271.757792,2058.446689,1327.879996,2017.668096,3279.373217,1714.01994,1794.346883,1960.654242,708.9026961,1817.346612,2589.799904,1409.423063,1901.253286,3716.039855,1149.053378,1641.839934,2472.293372,2040.13309,1881.546726,1867.873317,1960.086539,2547.759957,1369.823668,2697.053337,1549.279962,2329.459915,3375.613372,2204.166483,3069.720046,1115.580015,3106.040165,3342.687739,1930.373101,3099.508507,2258.39994,2368.106593,1772.240298,2832.386865,1952.560193
